You are now connected to database "topmodelsql" as user "kylemcphail".
CREATE TABLE
INSERT 0 214
CREATE TABLE
INSERT 0 35
CREATE TABLE
"this table"
INSERT 0 228
 model_id |      model_name      |    area     | price_per_event |  category   |   agent   |                trait                 | rating | next_event_date | revenue 
      207 | Fabe Naden           | Online      |          349.34 | Promotional | Paul      | Instantaneous Costume Changes        |      0 | 2022-03-08      | 4842.59
      208 | Jarrod Lorriman      | Athens      |          826.13 | Parts       | Christian | Super Speed Typing                   |      1 | 2024-10-26      | 8119.76
      209 | Reena Dunkersley     | Los Angeles |          368.22 | Fashion     | Alex      | lucky charm                          |      3 | 2022-03-05      | 8589.33
      210 | Julianna Togwell     | Crewe       |          704.17 | Fashion     | Christian | Super Slow Motion                    |      2 | 2024-02-01      | 8887.56
      211 | Joanna Cogdon        | Crewe       |          568.89 | Glamour     | Paul      | Uncontrollable Tickling              |      9 | 2025-11-10      | 1006.37
      212 | Jemmie Cannop        | Stockholm   |           13.34 | Promotional | Verity    | knowing when it's going to rain      |      2 | 2025-11-24      | 8575.22
      213 | Deane Blinkhorn      | Crewe       |          647.59 | Fashion     | Katherine | Telepathic Yawn                      |      6 | 2025-09-05      | 3657.26
      214 | Lowrance Brattell    | Athens      |          588.22 | Glamour     | Verity    | Instantaneous Costume Changes        |     10 | 2025-02-24      | 1849.79
(214 rows)

 brand_id |    brand_name     
----------+-------------------
        1 | Adidas
        2 | Aldi
        3 | Amazon
        4 | Balenciaga
        5 | Buff
        6 | Chanel
        7 | Charities
        8 | Dior
        9 | Ebay
       10 | Fendi
       11 | Givenchy
       12 | Gucci
       13 | H&M
       14 | Harrods
       15 | HSBC
       16 | Ikea
       17 | Instagram
       18 | Listo Burritos
       19 | Louboutin
       20 | Louis Vuitton
       21 | Marks and Spencer
       22 | Marvel Studios
       23 | Nike
       24 | Oricle
       25 | Patagonia
       26 | Poundland
       27 | Prada
       28 | Reebok
       29 | Salomon
       30 | Stella McCartney
       31 | United Utilities
       32 | Valentino
       33 | Versace
       34 | Vinted
       35 | Wayfair
(35 rows)

 model_id | brand_id 
----------+----------
        1 |       19
        1 |       13
        2 |        2
        2 |       26
        3 |       29
        3 |       25
        3 |        5
        4 |        1
        5 |       34
        5 |        9
        5 |       17
        6 |        7
        7 |       21
        7 |       24
        8 |       15
        8 |       14
        9 |       35
        9 |       16
        9 |        3
       10 |       28
       10 |        1
       10 |       23
       11 |        6
       11 |        8
       11 |       30
       12 |       31
       13 |       18
       14 |       22
       15 |       33
       16 |       16
       17 |       25
       18 |       29
       19 |        3
       20 |       33
       21 |       32
       22 |       15
       23 |       21
       24 |       12
       25 |       24
       26 |       21
       27 |       11
       28 |       17
       29 |       21
       30 |       14
       31 |       15
       32 |        6
       33 |        7
       34 |       26
       35 |        6
       36 |       10
       37 |        6
       38 |       17
       39 |       17
       40 |       12
       41 |       30
       42 |       27
       43 |       34
       44 |       27
       45 |       29
       46 |       28
       47 |       26
       48 |       15
       49 |       29
       50 |        1
       51 |       15
       52 |       19
       53 |       10
       54 |        7
       55 |        9
       56 |        8
       57 |       29
       58 |        7
       59 |       19
       60 |       33
       61 |        6
       62 |       29
       63 |       30
       64 |       16
       65 |       19
       66 |       25
       67 |       27
       68 |        4
       69 |       10
       70 |       26
       71 |        1
       72 |       25
       73 |       24
       74 |        2
       75 |        2
       76 |       15
       77 |       12
       78 |        9
       79 |        7
       80 |        1
       81 |        3
       82 |        8
       83 |       33
       84 |        9
       85 |        5
       86 |       29
       87 |       16
       88 |       12
       89 |        6
       90 |        6
       91 |       27
       92 |       29
       93 |       30
       94 |       24
       95 |       23
       96 |       34
       97 |       19
       98 |       27
       99 |        5
      100 |       17
      101 |       29
      102 |       20
      103 |        9
      104 |        8
      105 |       15
      106 |       35
      107 |        1
      108 |        1
      109 |        3
      110 |        7
      111 |       14
      112 |       24
      113 |        2
      114 |       14
      115 |       24
      116 |       16
      117 |        5
      118 |       13
      119 |        5
      120 |       34
      121 |       29
      122 |        7
      123 |        4
      124 |       24
      125 |       13
      126 |        4
      127 |       29
      128 |        3
      129 |       15
      130 |       15
      131 |       25
      132 |       33
      133 |       34
      134 |       13
      135 |        4
      136 |       17
      137 |        7
      138 |        1
      139 |       13
      140 |       11
      141 |       15
      142 |       13
      143 |       33
      144 |        6
      145 |       14
      146 |       21
      147 |       35
      148 |       33
      149 |       15
      150 |       33
      151 |       16
      152 |       28
      153 |       14
      154 |       14
      155 |        6
      156 |        9
      157 |       27
      158 |       21
      159 |       35
      160 |       20
      161 |       28
      162 |       14
      163 |       32
      164 |       27
      165 |       24
      166 |       26
      167 |       33
      168 |       10
      169 |       11
      170 |       29
      171 |        2
      172 |       34
      173 |        5
      174 |       30
      175 |       35
      176 |       19
      177 |        1
      178 |        5
      179 |       29
      180 |       24
      181 |       19
      182 |        3
      183 |       10
      184 |        2
      185 |       23
      186 |       28
      187 |       30
      188 |        5
      189 |       21
      190 |       23
      191 |       28
      192 |        1
      193 |       21
      194 |       30
      195 |       34
      196 |       27
      197 |       10
      198 |       23
      199 |       24
      200 |        6
      201 |        9
      202 |        9
      203 |       29
      204 |        9
      205 |       35
      206 |       10
      207 |       16
      208 |       32
      209 |        8
      210 |       21
      211 |       25
      212 |       30
      213 |       35
      214 |       26
(228 rows)

